rule_id,rule_type,rule_text,total_runs,n_mismatches,decisiveness,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,accuracy,grammar_valid,meets_criteria
DT_d2_r1,pass,initial_heading_error <= -1.3198 AND initial_distance_to_obstacle <= 1.9787,144,0,1.0000,0.0000,0.9583,6,0,0,138,0.0417,True,False
DT_d2_r2,pass,initial_heading_error <= -1.3198 AND initial_distance_to_obstacle > 1.9787,144,0,1.0000,0.0000,0.9583,6,0,0,138,0.0417,True,False
DT_d2_r3,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732,144,126,0.1250,0.8750,0.0000,0,18,126,0,0.1250,True,True
DT_d2_r4,pass,initial_heading_error > -1.3198 AND initial_heading_error > 1.0732,144,0,1.0000,0.0000,0.9583,6,0,0,138,0.0417,True,False
DT_DNF_d2_pass,pass,(initial_heading_error <= -1.3198 AND initial_distance_to_obstacle <= 1.9787) OR (initial_heading_error <= -1.3198 AND initial_distance_to_obstacle > 1.9787) OR (initial_heading_error > -1.3198 AND initial_heading_error > 1.0732),144,0,1.0000,0.0000,0.8750,18,0,0,126,0.1250,True,False
DT_d3_r3,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731,144,4,0.9722,0.0278,0.0000,0,140,4,0,0.9722,True,False
DT_d3_r4,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731,144,122,0.1528,0.8472,0.0000,0,22,122,0,0.1528,True,True
DT_DNF_d3_fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),144,126,0.1250,0.8750,0.0000,0,18,126,0,0.1250,True,True
RF_t14_r1,pass,initial_heading_error <= -1.6915,144,0,1.0000,0.0000,0.9375,9,0,0,135,0.0625,True,False
RF_t14_r2,fail,initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038,144,31,0.7847,0.2153,0.0000,0,113,31,0,0.7847,True,True
RF_t14_r3,fail,initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714,144,73,0.4931,0.5069,0.0000,0,71,73,0,0.4931,True,True
RF_t14_r4,fail,initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714,144,22,0.8472,0.1528,0.0000,0,122,22,0,0.8472,True,False
RF_t14_r5,pass,initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error > 0.4442,144,0,1.0000,0.0000,0.9375,9,0,0,135,0.0625,True,False
RF_DNF_t14_pass,pass,initial_heading_error <= -1.6915 OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error > 0.4442),144,0,1.0000,0.0000,0.8750,18,0,0,126,0.1250,True,False
RF_DNF_t14_fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),144,126,0.1250,0.8750,0.0000,0,18,126,0,0.1250,True,True
RF_t55_r1,pass,initial_heading_error <= -1.2199,144,0,1.0000,0.0000,0.9097,13,0,0,131,0.0903,True,False
RF_t55_r2,fail,initial_heading_error > -1.2199 AND initial_distance_to_obstacle <= 1.3136,144,30,0.7917,0.2083,0.0000,0,114,30,0,0.7917,True,True
RF_t55_r3,fail,initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error <= 0.4442,144,92,0.3611,0.6389,0.0000,0,52,92,0,0.3611,True,True
RF_t55_r4,pass,initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error > 0.4442,144,0,1.0000,0.0000,0.9375,9,0,0,135,0.0625,True,False
RF_DNF_t55_pass,pass,initial_heading_error <= -1.2199 OR (initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error > 0.4442),144,0,1.0000,0.0000,0.8472,22,0,0,122,0.1528,True,False
RF_DNF_t55_fail,fail,(initial_heading_error > -1.2199 AND initial_distance_to_obstacle <= 1.3136) OR (initial_heading_error > -1.2199 AND initial_distance_to_obstacle > 1.3136 AND initial_heading_error <= 0.4442),144,122,0.1528,0.8472,0.0000,0,22,122,0,0.1528,True,True
RF_t66_r1,pass,initial_heading_error <= -1.3198,144,0,1.0000,0.0000,0.9167,12,0,0,132,0.0833,True,False
RF_t66_r2,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error <= 0.4532,144,121,0.1597,0.8403,0.0000,0,23,121,0,0.1597,True,True
RF_t66_r3,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error > 0.4532,144,4,0.9722,0.0278,0.0000,0,140,4,0,0.9722,True,False
RF_t66_r4,pass,initial_heading_error > -1.3198 AND initial_heading_error > 0.7461,144,0,1.0000,0.0000,0.9514,7,0,0,137,0.0486,True,False
RF_DNF_t66_pass,pass,initial_heading_error <= -1.3198 OR (initial_heading_error > -1.3198 AND initial_heading_error > 0.7461),144,0,1.0000,0.0000,0.8681,19,0,0,125,0.1319,True,False
RF_DNF_t66_fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error <= 0.4532) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_heading_error > 0.4532),144,125,0.1319,0.8681,0.0000,0,19,125,0,0.1319,True,True
RF_t75_r2,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,144,98,0.3194,0.6806,0.0000,0,46,98,0,0.3194,True,True
RF_t75_r3,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931,144,8,0.9444,0.0556,0.0000,0,136,8,0,0.9444,True,False
RF_t75_r4,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931,144,19,0.8681,0.1319,0.0000,0,125,19,0,0.8681,True,False
RF_DNF_t75_fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius <= 0.4931) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed > 1.6154 AND obstacle_radius > 0.4931),144,125,0.1319,0.8681,0.0000,0,19,125,0,0.1319,True,True
RF_t88_r1,pass,initial_heading_error <= 0.974 AND initial_heading_error <= -1.3198,144,0,1.0000,0.0000,0.9167,12,0,0,132,0.0833,True,False
RF_t88_r2,fail,initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle <= 1.9478,144,78,0.4583,0.5417,0.0000,0,66,78,0,0.4583,True,True
RF_t88_r3,fail,initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius <= 0.4534,144,7,0.9514,0.0486,0.0000,0,137,7,0,0.9514,True,False
RF_t88_r4,fail,initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius > 0.4534,144,40,0.7222,0.2778,0.0000,0,104,40,0,0.7222,True,True
RF_t88_r5,pass,initial_heading_error > 0.974,144,0,1.0000,0.0000,0.9514,7,0,0,137,0.0486,True,False
RF_DNF_t88_pass,pass,(initial_heading_error <= 0.974 AND initial_heading_error <= -1.3198) OR initial_heading_error > 0.974,144,0,1.0000,0.0000,0.8681,19,0,0,125,0.1319,True,False
RF_DNF_t88_fail,fail,(initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle <= 1.9478) OR (initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius <= 0.4534) OR (initial_heading_error <= 0.974 AND initial_heading_error > -1.3198 AND initial_distance_to_obstacle > 1.9478 AND obstacle_radius > 0.4534),144,125,0.1319,0.8681,0.0000,0,19,125,0,0.1319,True,True
